5140
0103,1F1F
0203,0DD6
0203,0396
0103,0DB6
0103,0DB7
0203,0D9A
0203,0DCC
0203,0DBA
0203,0DB4
0203,0124
0203,0D8A
0203,0162
0203,01F2
0203,0DBE
0203,0D96
0203,0170
0203,011A
0203,0154
0203,0D92
0103,0D8D
0103,0D8D
0203,1F44
0103,0D91
0103,0DB9
0203,0DB2
0103,0DA8
0103,015C
0203,016A
0103,015D
0103,0DDB
0103,1F1F
0103,021B
0103,1F1F
0103,0228
0103,014E
0103,0239
0203,0D96
0203,0170
0203,011A
0103,1F1F
0103,1F5D
0203,1F20
0203,1F20
0103,0DD9
0103,1F1F
0103,035C
0103,1F1F
0203,FFFE
0203,0314
0203,0322
0203,016C
0103,0398
